Month,All,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2020/01,8,0,0,1,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020/02,25,0,0,1,0,12,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0
2020/03,191848,987,129,1289,523,8233,2966,3128,319,495,6741,3929,204,515,5994,2158,497,434,628,5237,303,1660,9924,7951,629,937,1550,198,172,1114,357,18696,315,75853,1578,122,2199,568,690,4963,239,488,1083,108,2391,3809,888,293,1249,5432,162,1412,109
2020/04,1076317,7088,360,7655,3281,50130,15284,27700,4734,4323,33690,26264,618,1984,52918,17835,7145,4413,4708,28001,1095,21742,66867,43478,5136,6815,7956,453,4281,5053,2146,118652,3411,304372,11120,1067,18027,3618,2510,47971,1539,8621,6095,2449,10735,28727,4672,866,15847,14327,1125,6854,559
2020/05,1796255,17952,484,19936,7253,111951,26364,42201,9498,8801,56163,47063,652,2839,120260,34574,19552,9700,9704,39916,2325,52778,97260,62711,24850,15523,13573,515,14101,8628,4651,160445,7689,370770,29514,2577,35513,6418,4243,76129,3776,14928,11861,4993,22566,64652,9797,981,44607,21702,2010,18403,903
2020/06,2633556,38045,1142,79228,20777,231418,32698,46514,11474,10327,152434,81291,917,6117,143185,45594,29074,14370,15624,58095,3253,67559,104440,70728,36303,27247,21812,967,19177,18456,5782,171667,12147,393454,67226,3576,51789,13757,8656,91139,7465,16813,36399,6764,43509,163060,22217,1208,62787,32824,2905,28659,1487
2020/07,4559481,87723,3716,174010,42511,500556,46791,49810,14788,12126,470386,186352,2111,20716,180115,66154,44753,27364,30151,116280,3912,88346,111836,90574,54463,58747,50616,3965,26211,48088,6583,181660,20600,415014,125678,6469,91159,36487,18492,116787,16781,19022,89016,8764,105959,438293,40196,1414,89888,55803,6579,52940,2726
2020/08,5992433,125235,6135,201661,60856,705951,57203,52495,17343,13959,621586,268973,8339,31858,235058,93313,64599,41761,48031,147867,4514,107791,120568,112526,75189,82676,84474,7340,34046,68908,7254,191611,25283,434100,171487,11702,122260,58119,26554,138134,32848,21683,118324,13322,153115,629570,51854,1616,119747,74320,10109,75337,3829
