Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2019,Jun,66.1,64.5,342493,334399,8094,2.4
2019,Jul,66.0,64.4,341929,333781,8148,2.4
2019,Aug,65.8,64.3,341361,333162,8199,2.4
2019,Sep,65.8,64.2,340947,332709,8238,2.4
2019,Oct,65.7,64.1,340685,332422,8263,2.4
2019,Nov,65.7,64.1,340681,332418,8263,2.4
2019,Dec,65.7,64.1,340749,332491,8258,2.4
2020,Jan,65.6,64.0,340538,332233,8305,2.4
2020,Feb,65.6,64.0,340142,331947,8195,2.4
2020,Mar,65.7,63.6,340607,330084,10523,3.1
2020,Apr,67.6,56.5,350944,293039,57905,16.5
2020,May,66.3,57.8,343838,299688,44150,12.8
2020,Jun,65.8,59.6,341591,309139,32452,9.5
2020,Jul,65.4,59.9,339162,310976,28186,8.3
2020,Aug,62.5(P),59.5(P),324350(P),308908(P),15442(P),4.8(P)
