Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2018,Oct,58.5,56.6,2351941,2273860,78081,3.3
2018,Nov,58.6,56.6,2357630,2279069,78561,3.3
2018,Dec,58.6,56.7,2363064,2283671,79393,3.4
2019,Jan,58.7,56.7,2367422,2287166,80256,3.4
2019,Feb,58.7,56.7,2370060,2289490,80570,3.4
2019,Mar,58.6,56.7,2371243,2291362,79881,3.4
2019,Apr,58.6,56.7,2371542,2293871,77671,3.3
2019,May,58.5,56.7,2371610,2297752,73858,3.1
2019,Jun,58.4,56.7,2372211,2303048,69163,2.9
2019,Jul,58.4,56.8,2374220,2309920,64300,2.7
2019,Aug,58.4,56.9,2376923,2316783,60140,2.5
2019,Sep,58.4,57.0,2380292,2322842,57450,2.4
2019,Oct,58.4,57.0,2383056,2326812,56244,2.4
2019,Nov,58.3,56.9,2383533,2326821,56712,2.4
2019,Dec,58.2,56.8,2383297,2326018,57279,2.4
2020,Jan,58.3,56.9,2387096,2330497,56599,2.4
2020,Feb,58.3,56.9,2391855,2333224,58631,2.5
2020,Mar,58.6,56.7,2405171,2328802,76369,3.2
2020,Apr,57.8,50.4,2376830,2073470,303360,12.8
2020,May,58.7,51.4,2416098,2116430,299668,12.4
2020,Jun,59.2,54.0,2438395,2226783,211612,8.7
2020,Jul,59.6,54.4,2458905,2246003,212902,8.7
2020,Aug,58.5(P),54.8(P),2417471(P),2264535(P),152936(P),6.3(P)
