Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2018,Oct,60.8,58.9,1835349,1776637,58712,3.2
2018,Nov,60.8,58.9,1835734,1776335,59399,3.2
2018,Dec,60.8,58.8,1836478,1776433,60045,3.3
2019,Jan,60.8,58.8,1837017,1776712,60305,3.3
2019,Feb,60.8,58.8,1837111,1777026,60085,3.3
2019,Mar,60.8,58.8,1837004,1777425,59579,3.2
2019,Apr,60.7,58.8,1837101,1778063,59038,3.2
2019,May,60.7,58.8,1837778,1779004,58774,3.2
2019,Jun,60.7,58.8,1839224,1780170,59054,3.2
2019,Jul,60.8,58.8,1841427,1781526,59901,3.3
2019,Aug,60.8,58.8,1843446,1782527,60919,3.3
2019,Sep,60.8,58.8,1845138,1783397,61741,3.3
2019,Oct,60.8,58.8,1846046,1783842,62204,3.4
2019,Nov,60.8,58.7,1845800,1783677,62123,3.4
2019,Dec,60.7,58.7,1845530,1783548,61982,3.4
2020,Jan,60.7,58.7,1845422,1784815,60607,3.3
2020,Feb,60.6,58.7,1844257,1785827,58430,3.2
2020,Mar,60.1,58.4,1829828,1776101,53727,2.9
2020,Apr,58.4,49.8,1776346,1515047,261299,14.7
2020,May,59.9,52.3,1823007,1592762,230245,12.6
2020,Jun,58.0,54.3,1767340,1653543,113797,6.4
2020,Jul,59.2,55.0,1804753,1676888,127865,7.1
2020,Aug,60.1(P),56.7(P),1833289(P),1728509(P),104780(P),5.7(P)
