Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
2018,Oct,64.6,61.8,6465769,6189695,276074,4.3
2018,Nov,64.6,61.8,6472201,6193166,279035,4.3
2018,Dec,64.7,61.9,6476504,6194343,282161,4.4
2019,Jan,64.7,61.9,6475751,6192440,283311,4.4
2019,Feb,64.6,61.8,6469321,6188045,281276,4.3
2019,Mar,64.6,61.8,6460202,6183400,276802,4.3
2019,Apr,64.5,61.8,6452156,6181182,270974,4.2
2019,May,64.5,61.8,6447045,6182433,264612,4.1
2019,Jun,64.5,61.9,6445179,6186736,258443,4.0
2019,Jul,64.5,61.9,6444841,6192675,252166,3.9
2019,Aug,64.4,62.0,6442858,6197008,245850,3.8
2019,Sep,64.4,62.0,6439731,6199414,240317,3.7
2019,Oct,64.4,62.0,6435480,6199272,236208,3.7
2019,Nov,64.4,62.0,6433159,6197576,235583,3.7
2019,Dec,64.4,62.0,6433027,6196809,236218,3.7
2020,Jan,64.2,61.9,6417226,6189437,227789,3.5
2020,Feb,64.1,61.9,6398665,6179880,218785,3.4
2020,Mar,63.0,60.4,6294250,6030123,264127,4.2
2020,Apr,61.3,50.8,6123362,5072987,1050375,17.2
2020,May,63.2,53.5,6305015,5337980,967035,15.3
2020,Jun,65.1,55.6,6493413,5549811,943602,14.5
2020,Jul,62.6,55.4,6248853,5533043,715810,11.5
2020,Aug,63.6(P),56.6(P),6347149(P),5652123(P),695026(P),11.0(P)
